|      x |      y |        Pixel Value |          Magnitude |   Local Background | Size of Source (Total Pixel Count) |
| 1323.0 | 1728.0 |  228963.6793084219 |  11.90058351169369 | 3425.8639152258784 |                             1313.0 |
|  322.0 | 2791.0 |  50330.17227979272 | 13.545428957534112 | 3425.2007772020725 |                              293.0 |
| 1012.0 | 2114.0 | 44982.701134930714 |  13.66738617367529 |  3424.417402269861 |                              293.0 |
|  546.0 | 3953.0 | 129953.69991954975 | 12.515528377907051 | 3428.4062751407882 |                              749.0 |
| 1660.0 | 2010.0 | 114650.54099905747 | 12.651559729082793 | 3421.4184731385485 |                              577.0 |
| 1976.0 | 1982.0 |  51839.87152777775 | 13.513340208567344 | 3420.9201388888887 |                              349.0 |
|  969.0 | 2420.0 | 41322.519568151096 | 13.759533015002013 | 3429.3292847503376 |                              293.0 |
| 1906.0 | 1956.0 | 138992.88045812445 |  12.44251861189962 | 3420.8561202576952 |                              861.0 |
| 1879.0 | 2370.0 |    122365.91796875 | 12.580848818614005 |      3422.41015625 |                              973.0 |
| 1170.0 | 2886.0 | 106989.31781589054 |  12.72664895403939 | 3437.9089954497726 |                             2377.0 |
| 1105.0 |  910.0 | 136423.97568165092 | 12.462773245914025 |  3427.526160648489 |                              861.0 |
|  185.0 | 3090.0 |  37954.75631313131 | 13.851834481495462 |  3421.157828282828 |                              293.0 |
|  687.0 |  294.0 |  77010.93248945149 | 13.083619044769497 |  3433.276793248945 |                              665.0 |
| 1791.0 | 3355.0 | 29874.123484013136 | 14.111762070476944 |  3436.197353914002 |                              349.0 |
|  490.0 | 4094.0 |  35516.85074626864 |  13.92391387441775 |  3426.805970149254 |                              293.0 |
| 2335.0 | 1383.0 | 118632.32377049187 | 12.614492406381494 | 3431.9221311475408 |                              749.0 |
| 1866.0 | 2698.0 |    34045.965665236 |  13.96983585791914 |  3428.662374821173 |                              225.0 |
| 2090.0 | 1560.0 | 117195.73149062181 | 12.627720514818455 |  3427.393879565647 |                              577.0 |
| 1366.0 | 4070.0 |  33504.52333804814 | 13.987241390755623 | 3427.4865629420083 |                              225.0 |
| 1215.0 | 1041.0 |  41765.55437100213 | 13.747954374136313 |  3430.594882729211 |                              421.0 |
|  563.0 | 3177.0 |  43370.73094688216 | 13.707008146062126 |  3428.026558891455 |                              349.0 |
| 1073.0 | 1936.0 |  249907.0617433414 | 11.805553679083292 | 3425.0577078288943 |                             2217.0 |
| 1012.0 |  757.0 |  80471.11619047611 | 13.035899936660165 |  3431.632380952381 |                              577.0 |
| 1490.0 | 4423.0 |  31780.91333333333 | 14.044584065026829 | 3425.2466666666664 |                              349.0 |
| 2390.0 |  462.0 | 38122.525215252186 |  13.84704584912895 | 3411.2337023370233 |                              293.0 |
| 1516.0 | 2485.0 |  31833.12172573188 | 14.042801925142337 | 3430.8705701078584 |                              225.0 |
| 2230.0 |  251.0 |  45399.93283582083 | 13.657361974082681 | 3412.9626865671644 |                              293.0 |
| 1580.0 | 1499.0 |  56196.26673866087 |  13.42573133690709 | 3425.0658747300217 |                              421.0 |
| 1799.0 |  461.0 | 105069.61294830032 | 12.746307168945195 |  3412.233348858873 |                             1313.0 |
|  245.0 | 3132.0 | 32605.382352941204 | 14.016776756483747 |  3422.029411764706 |                              293.0 |
|  717.0 | 1104.0 |  94410.11790393014 | 12.862453649996962 | 3428.4689956331877 |                              665.0 |
| 2125.0 | 4284.0 |  40577.48758169927 | 13.779287116222616 |  3420.083660130719 |                              293.0 |
|  975.0 | 2907.0 | 31845.800825593295 | 14.042369563620074 |  3435.059855521156 |                              421.0 |
|  828.0 | 2670.0 |    68175.922555116 |  13.21592244120748 |   3433.48049745619 |                             1201.0 |
|  908.0 | 3395.0 | 176633.22726226225 | 12.182318990015052 | 3434.4803131475937 |                             3745.0 |
|  404.0 | 1250.0 | 31264.812652068096 | 14.062360423488732 | 3421.9221411192216 |                              293.0 |
| 1882.0 | 3260.0 |  69021.43985637347 |  13.20253996283028 | 3433.2280071813284 |                              577.0 |
| 1733.0 |  854.0 |  167105.4509202456 | 12.242523458360878 |   3418.09509202454 |                             1457.0 |
| 1177.0 | 1010.0 |  50715.06024096394 | 13.537157635773562 |  3429.156626506024 |                              421.0 |
| 1110.0 | 2585.0 |   101344.617227979 | 12.785498283196226 |  3430.188471502591 |                              973.0 |
|  908.0 | 3224.0 |  53894.50797266513 |  13.47113872148072 | 3435.1822323462416 |                              749.0 |
| 1034.0 |  927.0 |  70428.48335015122 | 13.180629159672034 |  3428.843592330979 |                              489.0 |
| 1872.0 | 1290.0 |   41828.5460358056 | 13.746318078185109 | 3418.6841432225065 |                              293.0 |
|  871.0 | 2402.0 | 28273.126760563464 | 14.171565399207019 |  3428.239436619718 |                              225.0 |
|  613.0 | 2777.0 | 134174.01018675743 | 12.480828999642377 | 3431.9337860780984 |                              861.0 |
| 1573.0 | 4444.0 | 24793.085365853738 | 14.314173560653437 |  3421.892953929539 |                              225.0 |
| 1280.0 | 4337.0 | 27311.153846153757 | 14.209149878318561 |  3422.769230769231 |                              421.0 |
| 2281.0 | 2641.0 |  83655.69129834231 | 12.993761268989914 |  3421.421961325967 |                              861.0 |
|  338.0 | 3855.0 |  60009.46725860145 |  13.35445057179817 |  3427.998890122087 |                              421.0 |
|  576.0 |  928.0 | 31191.647499999963 | 14.064904214496792 |          3426.3425 |                              293.0 |
|  442.0 | 2519.0 |   71248.3111111112 | 13.168063564572952 |   3425.17037037037 |                              861.0 |
| 1822.0 |  610.0 | 28580.375806451542 | 14.159830162306015 | 3416.6306451612904 |                              177.0 |
| 1992.0 |  980.0 |   46506.3246414602 | 13.631219952715723 | 3414.8930899608868 |                              293.0 |
| 1335.0 |  834.0 |  91281.46049222816 | 12.899043549688855 | 3428.6768134715026 |                              973.0 |
| 1101.0 | 3876.0 | 42465.933333333116 | 13.729898315939566 | 3427.8920634920637 |                              861.0 |
|  190.0 |  350.0 |   96977.8863636367 |  12.83331821395123 |  3420.931818181818 |                             3313.0 |
| 2113.0 |  471.0 |  90508.79300567089 |  12.90827306667377 | 3418.7230623818527 |                              577.0 |
| 1956.0 | 1011.0 |  54065.66132723098 | 13.467696200956661 | 3414.7688787185357 |                              349.0 |
| 2278.0 | 3135.0 | 21466.909375000047 | 14.470576192821907 |        3422.740625 |                              177.0 |
| 2139.0 | 4072.0 | 31145.320359281497 | 14.066517994086286 |  3421.122754491018 |                              421.0 |
|  457.0 | 3886.0 |   81596.4956097561 | 13.020821232099014 |  3427.581463414634 |                              577.0 |
|  548.0 | 1907.0 |  29151.97323600971 | 14.138330108565441 |  3421.703163017032 |                              293.0 |
|  372.0 | 2971.0 |  54895.56085192715 | 13.451156933750013 | 3426.0152129817443 |                              489.0 |
| 1299.0 | 1463.0 | 23491.099212598405 | 14.372741652309205 | 3422.4740157480314 |                              177.0 |
| 2113.0 | 3146.0 |  71232.16315472592 |  13.16830966736066 | 3425.2865743527996 |                              973.0 |
|  181.0 | 4241.0 | 61601.142389525194 | 13.326028084488833 | 3424.3862520458265 |                              665.0 |
| 2170.0 | 2210.0 |  54059.56302521005 | 13.467818672791301 | 3421.3193277310925 |                              421.0 |
| 1041.0 | 1635.0 | 22953.148800000083 | 14.397894319689296 |          3424.1856 |                              177.0 |
|  886.0 |  382.0 | 54713.221365638776 | 13.454769285980152 |  3429.324889867841 |                              421.0 |
|  243.0 | 1251.0 | 27057.524330900284 | 14.219279855877277 | 3421.0425790754257 |                              293.0 |
| 1633.0 |  244.0 | 29214.969529085793 | 14.135986405795443 | 3417.5512465373963 |                              225.0 |
| 2321.0 | 4043.0 |   40633.8865406008 | 13.777779090971324 | 3417.1779755283646 |                              349.0 |
| 1262.0 | 2661.0 |  37979.34021871211 | 13.851131460362794 | 3432.2454434993924 |                              349.0 |
| 2148.0 | 4382.0 | 17764.632375189103 | 14.676109438643607 |  3416.137670196672 |                              177.0 |
| 2307.0 | 3097.0 |  33611.29575892864 |  13.98378686148435 | 3422.9676339285716 |                              349.0 |
| 1239.0 | 2946.0 |  76952.96363192424 | 13.084436624629781 | 3441.1083719794974 |                             3313.0 |
|  212.0 | 1460.0 |  124285.8280991735 | 12.563945974236962 | 3423.1355371900827 |                             2377.0 |
| 1353.0 |  793.0 |  50854.52765486715 | 13.534175937827072 | 3429.8396017699115 |                              421.0 |
| 1840.0 | 3954.0 |  58019.32197614992 | 13.391068376860673 | 3427.9574105621805 |                              665.0 |
|  574.0 | 3477.0 |  20949.57500000007 | 14.497061957642423 |           3427.725 |                              293.0 |
| 1876.0 | 4009.0 | 26878.525730180787 |  14.22648638934372 |  3422.717663421419 |                              225.0 |
|  296.0 | 1452.0 | 29406.316049382673 | 14.128898448562104 | 3424.1456790123457 |                              293.0 |
|  189.0 |  765.0 |            72378.0 | 13.150983554484457 |  3426.714285714286 |                              749.0 |
|  790.0 | 2674.0 |  83266.51542912237 | 12.998824023732205 | 3428.8047251687562 |                             1457.0 |
|  399.0 | 3088.0 | 32468.597715736134 | 14.021341169216395 |  3425.189086294416 |                              293.0 |
|  599.0 | 1965.0 |  33350.66078184114 |  13.99223889229479 |  3423.465321563682 |                              293.0 |
|  496.0 | 1552.0 |  70754.83510340936 | 13.175609692089377 |  3426.419787590833 |                             1201.0 |
| 1872.0 |  711.0 |  39425.64544319606 | 13.810552970100762 | 3413.7315855181023 |                              293.0 |
|  605.0 | 3304.0 |  52488.87026797049 | 13.499831936419639 |  3420.403658017865 |                             1457.0 |
|  860.0 | 3202.0 |  24577.13760855049 | 14.323671747195839 | 3427.7247828991317 |                              749.0 |
|  690.0 | 2929.0 |  39501.26217616582 | 13.808472568061298 | 3428.4839378238344 |                              421.0 |
|  844.0 | 1224.0 | 39488.427961579524 | 13.808825388069435 |  3427.735325506937 |                              421.0 |
| 1106.0 | 4192.0 | 36058.688802083256 | 13.907475173815875 | 3424.8372395833335 |                              293.0 |
|  505.0 | 1490.0 |  44986.63026052108 |  13.66729134149541 |  3429.013026052104 |                              489.0 |
| 1794.0 | 3129.0 | 25736.592074592132 | 14.273622402435475 |  3438.932400932401 |                              349.0 |
| 1918.0 | 1899.0 | 29567.964566929033 |  14.12294642725221 | 3424.5393700787404 |                              293.0 |
| 1834.0 | 1960.0 |  38228.06355140172 | 13.844044251698481 |  3416.733956386293 |                              861.0 |
|  440.0 |  694.0 |  95529.65092533501 |  12.84965452301439 |  3429.768985322272 |                             1085.0 |
| 2415.0 | 2001.0 | 17517.395565927727 | 14.691326157438333 | 3426.7187864644106 |                              293.0 |
| 1606.0 | 4299.0 | 36050.911007025745 | 13.907709390445621 |  3423.255269320843 |                              349.0 |
| 2020.0 | 3427.0 |  16618.76168224297 | 14.748503350086844 |  3429.696261682243 |                              177.0 |
| 1322.0 |  693.0 |  49447.19339111587 | 13.564645884501822 | 3427.6191765980498 |                             1085.0 |
|  448.0 | 1007.0 | 46038.084148728056 | 13.642206894021115 |  3425.412915851272 |                              489.0 |
| 1331.0 | 3729.0 | 16729.530864197528 | 14.741290593790513 | 3434.4554183813443 |                              225.0 |
